date,stock_code
20250603,000555.SZ
20250603,000639.SZ
20250603,001277.SZ
20250603,002393.SZ
20250603,002657.SZ
20250603,002968.SZ
20250603,002987.SZ
20250603,600391.SH
20250603,603030.SH
20250603,603127.SH
20250603,603256.SH
20250603,603767.SH
20250604,000555.SZ
20250604,001277.SZ
20250604,002393.SZ
20250604,002657.SZ
20250604,002987.SZ
20250604,600391.SH
20250604,603030.SH
20250604,603127.SH
20250604,603256.SH
20250605,001268.SZ
20250605,002162.SZ
20250605,002173.SZ
20250605,002467.SZ
20250605,002526.SZ
20250605,002565.SZ
20250605,002612.SZ
20250605,002644.SZ
20250605,600250.SH
20250605,601069.SH
20250605,603477.SH
20250606,002290.SZ
20250606,002418.SZ
20250606,002952.SZ
20250606,600939.SH
20250606,603099.SH
20250606,603238.SH
20250606,603305.SH
20250606,603823.SH
20250609,000530.SZ
20250609,000665.SZ
20250609,001268.SZ
20250609,002134.SZ
20250609,002184.SZ
20250609,002335.SZ
20250609,002491.SZ
20250609,002565.SZ
20250609,600250.SH
20250609,600589.SH
20250609,603083.SH
20250609,603991.SH
20250609,605018.SH
20250609,605066.SH
20250610,000599.SZ
20250610,002290.SZ
20250610,002716.SZ
20250610,600151.SH
20250610,600322.SH
20250610,600800.SH
20250610,600844.SH
20250610,603305.SH
20250610,603680.SH
20250610,603823.SH
20250610,605033.SH
20250611,000530.SZ
20250611,000665.SZ
20250611,000795.SZ
20250611,002134.SZ
20250611,002335.SZ
20250611,002437.SZ
20250611,002440.SZ
20250611,002491.SZ
20250611,002640.SZ
20250611,600589.SH
20250611,601956.SH
20250611,603083.SH
20250611,603598.SH
20250611,605018.SH
20250611,605066.SH
20250612,002040.SZ
20250612,002300.SZ
20250612,002716.SZ
20250612,600798.SH
20250612,600800.SH
20250612,601008.SH
20250612,603065.SH
20250612,603680.SH
20250613,000795.SZ
20250613,002437.SZ
20250613,002640.SZ
20250613,002923.SZ
20250613,603124.SH
20250613,603598.SH
20250613,603722.SH
20250613,603725.SH
20250616,002040.SZ
20250616,002366.SZ
20250616,002449.SZ
20250616,003010.SZ
20250616,603758.SH
20250617,000881.SZ
20250617,002190.SZ
20250617,002246.SZ
20250617,002393.SZ
20250617,002583.SZ
20250617,002923.SZ
20250617,601069.SH
20250617,603353.SH
20250617,603706.SH
20250617,603722.SH
20250617,603928.SH
20250618,000590.SZ
20250618,000788.SZ
20250618,002115.SZ
20250618,002449.SZ
20250618,002537.SZ
20250618,002657.SZ
20250618,003010.SZ
20250618,003036.SZ
20250618,603086.SH
20250619,000777.SZ
20250619,000881.SZ
20250619,002190.SZ
20250619,002246.SZ
20250619,002583.SZ
20250619,002855.SZ
20250619,002899.SZ
20250619,600405.SH
20250619,600478.SH
20250619,601069.SH
20250619,603353.SH
20250619,603579.SH
20250619,603706.SH
20250620,002150.SZ
20250620,002213.SZ
20250620,002374.SZ
20250620,002537.SZ
20250620,002676.SZ
20250620,002769.SZ
20250620,003036.SZ
20250620,003040.SZ
20250620,600302.SH
20250620,603332.SH
20250623,002805.SZ
20250623,002855.SZ
20250623,603579.SH
20250623,603685.SH
20250623,603823.SH
20250623,605298.SH
20250624,000695.SZ
20250624,000995.SZ
20250624,002067.SZ
20250624,002272.SZ
20250624,002374.SZ
20250624,002676.SZ
20250624,601908.SH
20250624,603065.SH
20250624,603161.SH
20250625,000555.SZ
20250625,000561.SZ
20250625,002657.SZ
20250625,002805.SZ
20250625,002824.SZ
20250625,003015.SZ
20250625,003026.SZ
20250625,600201.SH
20250625,600666.SH
20250625,600698.SH
20250625,600800.SH
20250625,600955.SH
20250625,603033.SH
20250625,603578.SH
20250625,603716.SH
20250625,603823.SH
20250625,603880.SH
20250626,000016.SZ
20250626,000065.SZ
20250626,000572.SZ
20250626,000695.SZ
20250626,002067.SZ
20250626,002210.SZ
20250626,002227.SZ
20250626,002272.SZ
20250626,002355.SZ
20250626,002453.SZ
20250626,600592.SH
20250626,601177.SH
20250626,601908.SH
20250626,603032.SH
20250626,603065.SH
20250626,603119.SH
20250626,603226.SH
20250626,603258.SH
20250626,603275.SH
20250626,603920.SH
20250626,603980.SH
20250627,000555.SZ
20250627,000561.SZ
20250627,002657.SZ
20250627,002705.SZ
20250627,002820.SZ
20250627,002824.SZ
20250627,003015.SZ
20250627,003026.SZ
20250627,600184.SH
20250627,600391.SH
20250627,600590.SH
20250627,600604.SH
20250627,600666.SH
20250627,600800.SH
20250627,600955.SH
20250627,601133.SH
20250627,603033.SH
20250627,603123.SH
20250627,603716.SH
20250627,603880.SH
20250630,002355.SZ
20250630,600250.SH
20250630,600592.SH
20250630,601177.SH
20250630,603119.SH
20250630,603258.SH
20250630,603275.SH
20250630,603920.SH
20250630,603980.SH
20250701,002467.SZ
20250701,600184.SH
20250701,600281.SH
20250701,600391.SH
20250702,000677.SZ
20250702,002103.SZ
20250702,002246.SZ
20250702,003031.SZ
20250702,600366.SH
20250702,603040.SH
20250702,603127.SH
20250702,603579.SH
20250702,603669.SH
20250702,603982.SH
20250703,000153.SZ
20250703,002165.SZ
20250703,002729.SZ
20250703,600281.SH
20250703,600396.SH
20250703,600744.SH
20250703,603124.SH
20250703,603823.SH
20250703,605006.SH
20250704,000078.SZ
20250704,000530.SZ
20250704,000677.SZ
20250704,002206.SZ
20250704,600481.SH
20250704,600802.SH
20250704,600876.SH
20250704,601005.SH
20250704,603040.SH
20250704,603127.SH
20250707,000670.SZ
20250707,002093.SZ
20250707,600601.SH
20250707,603124.SH
20250707,603151.SH
20250707,603776.SH
20250707,603823.SH
20250707,605006.SH
20250707,605277.SH
20250708,000530.SZ
20250708,001210.SZ
20250708,002908.SZ
20250708,600423.SH
20250708,600481.SH
20250708,600876.SH
20250708,601208.SH
20250709,000670.SZ
20250709,002093.SZ
20250709,002094.SZ
20250709,002227.SZ
20250709,002324.SZ
20250709,002395.SZ
20250709,002537.SZ
20250709,002803.SZ
20250709,603086.SH
20250709,603976.SH
20250709,605028.SH
20250710,001296.SZ
20250710,001389.SZ
20250710,002865.SZ
20250710,600423.SH
20250710,600545.SH
20250710,603185.SH
20250710,603429.SH
20250711,000819.SZ
20250711,002094.SZ
20250711,002212.SZ
20250711,002324.SZ
20250711,600353.SH
20250711,603081.SH
20250711,603086.SH
20250711,603976.SH
20250714,002107.SZ
20250714,002468.SZ
20250714,002628.SZ
20250714,002633.SZ
20250714,002865.SZ
20250714,600939.SH
20250714,603439.SH
20250715,000758.SZ
20250715,000819.SZ
20250715,002912.SZ
20250715,003029.SZ
20250715,600281.SH
20250715,600353.SH
20250716,002468.SZ
20250716,002511.SZ
20250716,002562.SZ
20250716,002628.SZ
20250716,002633.SZ
20250716,002915.SZ
20250716,600268.SH
20250716,603013.SH
20250716,603350.SH
20250716,603380.SH
20250717,002912.SZ
20250717,603039.SH
20250717,603109.SH
20250717,603171.SH
20250718,002511.SZ
20250718,002900.SZ
20250718,002915.SZ
20250718,002923.SZ
20250718,002995.SZ
20250718,600268.SH
20250718,603013.SH
20250718,603090.SH
20250718,603266.SH
20250718,603798.SH
20250718,603950.SH
20250718,605133.SH
20250721,000796.SZ
20250721,001339.SZ
20250721,001359.SZ
20250721,001389.SZ
20250721,002542.SZ
20250721,002629.SZ
20250721,603039.SH
20250721,603109.SH
20250721,603171.SH
20250721,603738.SH
20250721,605188.SH
20250722,000758.SZ
20250722,000993.SZ
20250722,002167.SZ
20250722,002900.SZ
20250722,002923.SZ
20250722,600343.SH
20250722,600619.SH
20250722,600792.SH
20250722,603090.SH
20250722,603496.SH
20250722,605133.SH
20250723,000010.SZ
20250723,000400.SZ
20250723,000401.SZ
20250723,000679.SZ
20250723,001389.SZ
20250723,002067.SZ
20250723,002132.SZ
20250723,002287.SZ
20250723,002398.SZ
20250723,002457.SZ
20250723,002629.SZ
20250723,002671.SZ
20250723,002809.SZ
20250723,600376.SH
20250723,600596.SH
20250723,600720.SH
20250723,600802.SH
20250723,600939.SH
20250723,600984.SH
20250723,601005.SH
20250723,601992.SH
20250723,603151.SH
20250723,603227.SH
20250723,603375.SH
20250723,603612.SH
20250723,603949.SH
20250723,603977.SH
20250724,000758.SZ
20250724,002167.SZ
20250724,603109.SH
20250725,001277.SZ
20250725,002639.SZ
20250725,002771.SZ
20250725,600731.SH
20250725,601005.SH
20250725,603193.SH
20250725,603612.SH
20250728,000970.SZ
20250728,002889.SZ
20250728,600114.SH
20250728,600410.SH
20250728,603109.SH
20250728,603630.SH
20250729,002771.SZ
20250729,002843.SZ
20250729,002975.SZ
20250729,600731.SH
20250729,603528.SH
20250729,603725.SH
20250729,603976.SH
20250729,605259.SH
20250730,002174.SZ
20250730,002796.SZ
20250730,600114.SH
20250730,600513.SH
20250730,603630.SH
20250730,605118.SH
20250730,605299.SH
20250731,002793.SZ
20250731,002975.SZ
20250731,600391.SH
20250731,601089.SH
20250731,603063.SH
20250731,603229.SH
20250731,605277.SH
20250801,002796.SZ
20250804,002272.SZ
20250804,002793.SZ
20250804,603757.SH
20250805,002811.SZ
20250805,605068.SH
20250806,002020.SZ
20250806,002265.SZ
20250806,002272.SZ
20250806,002651.SZ
20250806,002901.SZ
20250806,002977.SZ
20250806,002980.SZ
20250806,600192.SH
20250806,600232.SH
20250806,603119.SH
20250806,603150.SH
