datetime,stock_code,action,target_value,current_value,shares,price,resulting_ratio
2024-07-08 09:30:00,605228.SH,BUY_ALLOC,40000.0,0.0,4400,9.02,0.19844
2024-07-09 00:00:00,605228.SH,REBAL_SELL,39943.23,41712.0,100,9.47,0.2
2024-07-10 00:00:00,605228.SH,REBAL_SELL,40287.83,42828.0,200,9.95,0.2
2024-07-15 09:30:00,002045.SZ,BUY_ALLOC,40589.63,0.0,3000,13.44,0.198671
2024-07-15 09:30:00,600692.SH,BUY_ALLOC,40579.6,0.0,7100,5.7,0.19946
2024-07-15 09:30:00,600727.SH,BUY_ALLOC,40561.35,0.0,5500,7.36,0.199599
2024-07-15 09:30:00,605277.SH,BUY_ALLOC,40546.31,0.0,2900,13.82,0.19769
2024-07-15 00:00:00,600727.SH,REBAL_BUY,40311.24,39380.0,100,7.17,0.2
2024-07-17 09:30:00,000700.SZ,BUY_ALLOC,39825.06,0.0,6700,5.91,0.198855
2024-07-17 09:30:00,603337.SH,BUY_ALLOC,39807.7,0.0,1300,29.16,0.190456
2024-07-17 00:00:00,000700.SZ,REBAL_BUY,39351.56,38123.0,200,5.7,0.2
2024-07-18 09:30:00,002903.SZ,BUY_ALLOC,38932.96,0.0,2400,15.67,0.193194
2024-07-24 09:36:00,603863.SH,BUY_ALLOC,39372.16,0.0,2000,19.01,0.193131
2024-07-24 00:00:00,603863.SH,REBAL_BUY,39556.36,37520.0,100,18.78,0.2
2024-07-26 09:30:00,000410.SZ,BUY_ALLOC,39737.36,0.0,6100,6.44,0.197718
2024-07-30 09:30:00,600604.SH,BUY_ALLOC,39407.49,0.0,10600,3.71,0.199586
2024-07-30 09:46:00,000921.SZ,BUY_ALLOC,39403.56,0.0,1400,27.81,0.197617
2024-07-30 10:01:00,603085.SH,BUY_ALLOC,39590.06,0.0,5000,7.84,0.198029
2024-07-30 11:08:00,000521.SZ,BUY_ALLOC,39776.14,0.0,5300,7.43,0.198003
2024-07-30 00:00:00,600604.SH,REBAL_SELL,40058.41,43354.0,800,4.09,0.2
2024-07-31 09:30:00,600396.SH,BUY_ALLOC,40599.21,0.0,15700,2.57,0.198767
2024-07-31 09:31:00,000868.SZ,BUY_ALLOC,40595.17,0.0,500,5.37,0.013228
2024-07-31 00:00:00,603085.SH,REBAL_SELL,41121.74,42100.0,100,8.41,0.2
2024-07-31 00:00:00,000521.SZ,REBAL_SELL,41121.74,43725.0,300,8.24,0.2
2024-07-31 00:00:00,600396.SH,REBAL_BUY,41121.74,40663.0,100,2.59,0.2
2024-07-31 00:00:00,000868.SZ,REBAL_BUY,41121.74,2665.0,7200,5.34,0.2
